line_id	point_id	x	y	z	width_(um)	pixel_intensity
0	0	4.88800	1.66400	2.00000	0.18317	55.16667
0	1	4.85773	1.76414	2.00000	0.25327	99.83333
0	2	4.77994	1.84539	2.00000	0.26808	136.33333
0	3	4.67980	1.89455	2.00000	0.23731	111.83333
0	4	4.57600	1.95325	2.00000	0.19954	116.33333
0	5	4.47200	1.99875	2.00000	0.24595	118.66667
0	6	4.36800	2.05725	2.00000	0.25832	186.83333
0	7	4.26400	2.10255	2.00000	0.27389	178.83333
0	8	4.16000	2.15739	2.00000	0.36648	219.66667
0	9	4.05600	2.18014	2.00000	0.41718	194.66667
0	10	3.95200	2.18400	2.00000	0.40370	173.16667
1	0	3.43200	4.68000	3.00000	0.24050	165.50000
1	1	3.42794	4.78400	3.16667	0.48190	290.33333
1	2	3.40173	4.88800	3.33333	0.53851	253.16667
1	3	3.32800	4.99200	3.50000	0.38830	200.00000
2	0	2.60000	5.61600	3.00000	0.24105	128.83333
2	1	2.62234	5.51200	3.16667	0.45722	113.83333
2	2	2.65119	5.40800	3.31481	0.42445	166.83333
2	3	2.62234	5.30400	3.42593	0.29650	142.50000
2	4	2.60000	5.20000	3.50000	0.14829	113.66667
3	0	7.17600	6.65600	4.00000	0.28151	288.83333
3	1	7.27980	6.73380	4.00000	0.35875	414.33333
3	2	7.38014	6.78641	4.00000	0.40774	398.16667
3	3	7.46159	6.86766	4.00000	0.46011	490.50000
3	4	7.51441	6.96414	4.00000	0.51216	510.83333
3	5	7.59586	7.04173	4.00000	0.59966	639.50000
3	6	7.69620	7.07180	4.00000	0.60196	679.66667
3	7	7.80000	7.09820	4.00000	0.62634	631.16667
3	8	7.90400	7.14959	4.01852	0.68685	690.50000
3	9	8.00814	7.17221	4.08642	0.52012	608.50000
3	10	8.11471	7.17715	4.24691	0.53330	435.66667
3	11	8.23618	7.18609	4.50617	0.38069	472.50000
3	12	8.38933	7.21067	4.83333	0.46011	225.83333
4	0	3.43200	7.80000	4.00000	0.15591	131.00000
4	1	3.32820	7.76973	4.16667	0.35487	170.33333
4	2	3.22806	7.69194	4.31482	0.40195	132.83333
4	3	3.15027	7.59180	4.42593	0.29796	135.00000
4	4	3.12000	7.48800	4.50000	0.15241	86.83333
5	0	8.38933	7.21067	4.83333	0.46011	225.83333
5	1	8.51798	7.08202	5.16049	0.30969	176.83333
5	2	8.63200	6.96800	5.50000	0.07203	75.00000
6	0	8.38933	7.21067	4.83333	0.46011	225.83333
6	1	8.49171	7.36382	4.91358	0.25524	135.00000
6	2	8.55285	7.48529	4.98765	0.09631	103.66667
6	3	8.63173	7.59186	5.06790	0.16339	83.33333
6	4	8.70573	7.69600	5.18518	0.16755	101.00000
6	5	8.73194	7.80000	5.33333	0.34488	73.83333
6	6	8.73600	7.90400	5.50000	0.05490	92.00000
7	0	1.97600	4.16000	5.50000	0.21705	89.16667
7	1	2.08000	4.16000	5.51852	0.32593	154.66667
7	2	2.18400	4.16020	5.55556	0.38590	127.33333
7	3	2.28800	4.16406	5.61111	0.42891	164.33333
7	4	2.39200	4.19027	5.62963	0.38190	112.66667
7	5	2.49600	4.26400	5.61111	0.27923	126.33333
7	6	2.60000	4.33773	5.55556	0.20423	132.00000
7	7	2.70400	4.36394	5.51852	0.16164	75.00000
7	8	2.80800	4.36780	5.50000	0.12253	119.33333
7	9	2.91200	4.36800	5.50000	0.10613	116.50000
7	10	3.01600	4.36800	5.50000	0.03202	80.33333
8	0	4.47200	4.47200	6.00000	0.17318	33.16667
8	1	4.47200	4.57600	6.00000	0.20660	78.66667
8	2	4.47200	4.68000	6.00000	0.20788	100.66667
8	3	4.47200	4.78400	6.00000	0.17221	46.66667
9	0	0.62400	7.48800	6.00000	0.37330	189.16667
9	1	0.72800	7.46180	6.24074	0.41727	99.16667
9	2	0.83200	7.41041	6.40741	0.18921	66.33333
9	3	0.93600	7.38786	6.48148	0.19690	94.16667
9	4	1.04000	7.38420	6.50000	0.17724	78.66667
9	5	1.14400	7.38400	6.50000	0.06883	107.16667
10	0	6.24000	7.69600	6.00000	0.29344	182.33333
10	1	6.34400	7.77380	6.00000	0.35549	251.00000
10	2	6.44800	7.82620	6.00000	0.40263	238.83333
10	3	6.55200	7.90400	6.00000	0.41709	226.16667
11	0	0.62400	3.95200	6.50000	0.19260	61.00000
11	1	0.52000	4.02594	6.50000	0.22180	83.50000
11	2	0.41600	4.05600	6.50000	0.18591	66.66667
12	0	7.48800	7.28000	7.00000	0.32773	107.16667
12	1	7.59200	7.38400	7.07407	0.41478	144.33333
12	2	7.69580	7.48800	7.18518	0.45205	119.16667
12	3	7.79594	7.59200	7.31482	0.41850	102.33333
