line_id	point_id	x	y	z	width_(um)	pixel_intensity
0	0	0.31200	7.38400	2.00000	0.08327	110.00000
0	1	0.38573	7.28000	2.31481	0.25726	93.66667
0	2	0.41214	7.17600	2.59259	0.23886	200.00000
0	3	0.41986	7.07200	2.79630	0.36456	136.00000
0	4	0.44647	6.96800	2.92593	0.32325	172.83333
0	5	0.52406	6.86400	2.98148	0.39938	280.66667
0	6	0.62400	6.76000	3.00000	0.40412	335.33333
1	0	20.90400	4.36800	3.00000	0.27748	244.16667
1	1	21.00800	4.36800	3.00000	0.43437	232.33333
1	2	21.11200	4.36800	3.00000	0.36094	223.33333
2	0	0.62400	6.76000	3.00000	0.40412	335.33333
2	1	0.72800	6.75614	3.16667	0.48643	260.50000
2	2	0.83200	6.73339	3.31481	0.45347	190.66667
2	3	0.93600	6.67834	3.42593	0.26626	165.33333
2	4	1.04000	6.62959	3.50000	0.22669	133.00000
2	5	1.14414	6.55193	3.58642	0.40586	219.16667
2	6	1.25071	6.47285	3.74691	0.50983	276.33333
2	7	1.37218	6.41171	4.00617	0.41057	299.16667
2	8	1.52533	6.30933	4.33333	0.37635	316.50000
3	0	0.62400	6.76000	3.00000	0.40412	335.33333
3	1	0.52406	6.65600	3.24074	0.27865	209.33333
3	2	0.44647	6.55200	3.40741	0.21440	67.83333
3	3	0.42006	6.44800	3.48148	0.18819	110.16667
3	4	0.41600	6.34400	3.50000	0.14695	122.33333
4	0	1.56000	7.07200	3.00000	0.21825	186.16667
4	1	1.66400	6.99827	3.24074	0.52714	182.50000
4	2	1.76800	6.97206	3.40741	0.31119	188.83333
4	3	1.87200	6.96820	3.48148	0.34123	183.50000
4	4	1.97600	6.96800	3.50000	0.33967	244.50000
4	5	2.08000	6.96800	3.50000	0.36444	248.16667
4	6	2.18400	6.96800	3.50000	0.34452	256.66667
4	7	2.28800	6.96800	3.50000	0.34451	205.83333
4	8	2.39200	6.96800	3.50000	0.34645	234.16667
4	9	2.49600	6.96780	3.51852	0.34437	231.00000
4	10	2.60000	6.96434	3.57407	0.39929	216.83333
4	11	2.70400	6.94545	3.68519	0.50033	183.00000
4	12	2.80800	6.91681	3.81481	0.48506	247.66667
4	13	2.91200	6.94545	3.92593	0.37817	197.33333
4	14	3.01600	6.96434	3.98148	0.33069	249.83333
4	15	3.12000	6.96800	4.00000	0.33943	220.16667
4	16	3.22400	6.97206	4.00000	0.37479	310.33333
4	17	3.32800	6.99827	4.01852	0.35097	261.33333
4	18	3.43200	7.07200	4.07407	0.38853	265.33333
4	19	3.53600	7.14594	4.18518	0.50322	248.33333
4	20	3.64000	7.17580	4.33333	0.47248	350.00000
4	21	3.74400	7.20220	4.51852	0.22056	237.00000
4	22	3.84800	7.25359	4.75926	0.36304	238.00000
4	23	3.95200	7.27614	5.09259	0.26971	189.33333
4	24	4.05600	7.28000	5.50000	0.13616	194.16667
5	0	16.53600	14.97600	3.00000	0.21315	163.33333
5	1	16.61026	15.08000	3.34568	0.24992	232.00000
5	2	16.64643	15.18400	3.74691	0.25618	268.16667
5	3	16.71798	15.28800	4.24691	0.41737	294.50000
5	4	16.90867	15.39200	4.83333	0.32259	311.66667
6	0	17.23429	16.59543	3.85714	0.21109	217.33333
6	1	17.40282	16.44930	3.70370	0.32374	360.83333
6	2	17.46271	16.33032	3.75132	0.37704	345.00000
6	3	17.47200	16.22400	4.00000	0.22495	249.66667
7	0	20.90400	2.49600	3.50000	0.40205	314.66667
7	1	20.80000	2.59614	3.57407	0.43350	297.50000
7	2	20.69593	2.67773	3.68519	0.47258	279.66667
7	3	20.59065	2.73311	3.81481	0.46657	259.16667
7	4	20.47791	2.83204	3.92593	0.32678	278.66667
7	5	20.34933	2.98133	4.00000	0.39231	242.00000
8	0	19.86400	4.68000	3.50000	0.22154	157.50000
8	1	19.93773	4.78400	3.74074	0.31711	178.00000
8	2	19.96367	4.88807	3.91358	0.27704	158.50000
8	3	19.96238	4.99335	4.01235	0.28024	183.50000
8	4	19.92764	5.10609	4.08642	0.23767	213.16667
8	5	19.82933	5.23467	4.16667	0.32962	250.66667
9	0	9.88000	6.86400	3.50000	0.20780	196.66667
9	1	9.98400	6.94180	3.57407	0.26692	189.16667
9	2	10.08800	6.99420	3.68519	0.39744	216.16667
9	3	10.19200	7.07200	3.81481	0.38445	82.50000
9	4	10.29600	7.14959	3.92593	0.16435	98.16667
9	5	10.40000	7.19855	3.98148	0.20026	100.50000
9	6	10.50400	7.25725	4.00000	0.24037	110.83333
9	7	10.60800	7.30275	4.00000	0.24821	179.16667
9	8	10.71200	7.36105	4.01852	0.25971	119.33333
9	9	10.81600	7.40248	4.09259	0.30973	200.00000
9	10	10.92000	7.43092	4.27778	0.34545	114.83333
9	11	11.02386	7.37594	4.57407	0.13168	109.00000
9	12	11.12529	7.27689	4.92593	0.18220	79.16667
9	13	11.21182	7.15582	5.24074	0.14513	86.16667
9	14	11.26667	7.00267	5.50000	0.25659	145.16667
10	0	17.42000	7.38400	3.75000	0.29695	223.16667
10	1	17.35287	7.13253	3.87037	0.38547	338.33333
10	2	17.26197	6.97612	3.97222	0.23162	176.33333
10	3	17.15990	6.86441	4.06481	0.29037	214.00000
10	4	17.05614	6.75986	4.18518	0.41575	148.16667
10	5	16.95471	6.65329	4.31482	0.44409	137.33333
10	6	16.86818	6.53182	4.42593	0.32226	135.50000
10	7	16.81333	6.37867	4.50000	0.26745	173.50000
11	0	17.42000	7.38400	3.75000	0.29695	223.16667
11	1	17.20540	7.33281	3.70370	0.35608	235.16667
11	2	17.06209	7.33931	3.73148	0.43421	194.16667
11	3	16.95230	7.33302	3.82407	0.40939	160.50000
11	4	16.84800	7.38786	3.92593	0.28767	149.16667
11	5	16.74400	7.46180	3.98148	0.22420	110.33333
11	6	16.64000	7.51055	4.00000	0.16140	107.33333
11	7	16.53600	7.56945	4.00000	0.18780	120.16667
11	8	16.43200	7.61841	4.00000	0.24849	133.33333
11	9	16.32800	7.69600	4.00000	0.25955	128.83333
12	0	17.42000	7.38400	3.75000	0.29695	223.16667
12	1	17.56087	7.20627	3.64815	0.33580	254.66667
12	2	17.67797	7.07647	3.62037	0.44674	272.66667
12	3	17.78390	6.97592	3.69444	0.43494	175.66667
12	4	17.88800	6.91702	3.81481	0.43184	174.00000
12	5	17.99200	6.91925	3.92593	0.40590	207.66667
12	6	18.09600	6.88655	3.98148	0.25283	223.33333
12	7	18.20000	6.86380	3.98148	0.28899	187.66667
12	8	18.30400	6.83780	3.92593	0.34218	249.00000
12	9	18.40800	6.78620	3.83333	0.41350	261.33333
12	10	18.51200	6.75980	3.77778	0.44721	197.83333
12	11	18.61600	6.72994	3.83333	0.36669	202.83333
12	12	18.72000	6.65600	4.00000	0.29387	282.66667
13	0	5.40800	7.48800	3.50000	0.27542	177.33333
13	1	5.51200	7.59200	3.75926	0.43949	295.66667
13	2	5.61600	7.69580	4.00000	0.27108	230.66667
13	3	5.71996	7.79590	4.30688	0.32977	217.66667
13	4	5.82323	7.87276	4.83069	0.24558	143.50000
13	5	5.92224	7.89417	5.68518	0.42169	160.66667
13	6	6.01219	7.88419	6.78571	0.44006	247.00000
14	0	17.16000	7.90400	3.50000	0.17109	105.66667
14	1	17.26197	7.79187	3.69444	0.36130	163.16667
14	2	17.35287	7.63547	3.77778	0.47176	189.16667
14	3	17.42000	7.38400	3.75000	0.29695	223.16667
15	0	12.16800	9.15200	3.50000	0.15868	86.66667
15	1	12.19827	9.05186	3.50000	0.19776	189.00000
15	2	12.27606	8.97041	3.50000	0.17622	151.33333
15	3	12.37620	8.91780	3.51852	0.19111	78.66667
15	4	12.48000	8.84000	3.57407	0.27048	148.83333
15	5	12.58400	8.76241	3.68519	0.35031	138.50000
15	6	12.68800	8.71345	3.81481	0.39016	101.33333
15	7	12.79200	8.65455	3.92593	0.28211	153.00000
15	8	12.89600	8.60559	3.98148	0.24872	107.66667
15	9	13.00000	8.52800	4.00000	0.22753	202.66667
16	0	14.66400	9.36000	3.50000	0.25201	187.66667
16	1	14.63373	9.25600	3.74074	0.37460	184.66667
16	2	14.55594	9.15220	3.90741	0.38144	181.83333
16	3	14.45580	9.05186	3.98148	0.23907	129.50000
16	4	14.35200	8.97061	4.00000	0.26884	134.66667
16	5	14.24800	8.92145	4.01852	0.34448	150.33333
16	6	14.14420	8.86255	4.07407	0.29465	130.66667
16	7	14.04406	8.81339	4.20370	0.26075	110.00000
16	8	13.96627	8.73214	4.38889	0.25017	66.00000
16	9	13.93600	8.63180	4.61111	0.29739	164.00000
16	10	13.90560	8.52793	4.78395	0.49793	202.83333
16	11	13.82523	8.42265	4.86420	0.40017	299.83333
16	12	13.70762	8.30991	4.80864	0.47078	304.33333
16	13	13.55467	8.18133	4.66667	0.45974	222.33333
17	0	16.12000	12.68800	3.50000	0.16803	135.83333
17	1	16.12386	12.79200	3.66667	0.24372	121.83333
17	2	16.14641	12.89600	3.81481	0.19530	129.16667
17	3	16.19780	13.00000	3.92593	0.22519	112.50000
17	4	16.22420	13.10400	3.98148	0.24008	170.00000
17	5	16.25426	13.20800	4.00000	0.27680	184.50000
17	6	16.33186	13.31200	4.00000	0.24075	166.66667
17	7	16.42814	13.41648	4.01709	0.23826	178.66667
17	8	16.50553	13.52969	4.08547	0.31432	239.83333
17	9	16.53194	13.69617	4.23932	0.37305	333.83333
17	10	16.53600	13.97600	4.46154	0.16834	261.00000
18	0	14.14400	13.31200	3.50000	0.20974	147.16667
18	1	14.24780	13.41600	3.50000	0.29166	179.66667
